# INITIALIZER QUIZ GAME - QUESTION DATABASE
# ==========================================
# 
# INSTRUCTIONS FOR AI: Generate additional quiz questions following this exact format.
# 
# CSV FORMAT REQUIREMENTS:
# - Each question must have exactly 10 comma-separated fields
# - NO quotes unless the field itself contains a comma
# - NO empty lines between questions
# - NO additional headers - just add data rows below the existing questions
# 
# COLUMN DEFINITIONS:
"# 1. term: The acronym/initialism (e.g., CPU, NASA, LOL)"
"# 2. kind: Must be either ""acronym"" OR ""initialism"""
"#    - acronym = pronounced as word (NASA, RADAR, LASER)"
"#    - initialism = pronounced letter-by-letter (FBI, CPU, HTML)"
"# 3. category: Choose from: computing, technology, science, business, government, "
"#    education, internet, general, medical, military, sports, food, finance, gaming, music, travel"
"# 4. question: Usually ""What does [TERM] stand for?"" (can vary slightly for variety)"
# 5. optionA: First answer choice
# 6. optionB: Second answer choice  
# 7. optionC: Third answer choice
# 8. optionD: Fourth answer choice
"# 9. correct: Which option is correct - MUST be exactly A, B, C, or D (capital letter)"
# 10. explanation: Educational fact about the term (keep under 100 characters)
# 
# CRITICAL REQUIREMENTS:
"# 1. BALANCE CORRECT ANSWERS: Distribute evenly across A, B, C, D (roughly 25% each)"
"#    - Current distribution: A=10, B=10, C=9, D=10 (out of 39 questions)"
"#    - When adding new questions, help maintain this balance"
# 
# 2. MAKE WRONG ANSWERS PLAUSIBLE:
"#    - ❌ BAD: ""CPU = Cute Purple Unicorn"" (obviously wrong)"
"#    - ✅ GOOD: ""CPU = Core Processing Unit"" (sounds technical and believable)"
#    - All wrong answers should sound like they COULD be correct
# 
# 3. VARY THE DIFFICULTY:
"#    - Easy: Common terms everyone knows (USB, GPS, FAQ)"
"#    - Medium: Technical but recognizable (API, HTML, PhD)"
"#    - Hard: Specialized terms (PCMCIA, WYSIWYG, CAPTCHA)"
# 
# 4. WRITE EDUCATIONAL EXPLANATIONS:
#    - Don't just expand the acronym
#    - Add an interesting fact or context
"#    - Example: ""RADAR was originally an acronym but is now used as a standard word."""
# 
# EXAMPLES OF WELL-FORMED QUESTIONS:
"# BIOS,initialism,computing,What does BIOS stand for?,Basic Input/Output System,Binary Integrated Operating System,Built-In Operating Software,Basic Internal Operating Standard,A,BIOS initializes hardware during boot before the operating system loads."
"# FOMO,acronym,internet,What does FOMO stand for?,Fear Of Missing Out,Friends Only Messaging Online,Frequently Occurring Mobile Obsession,Finding Other Meaningful Options,A,FOMO describes anxiety over missing exciting or interesting events."
# 
# TASK: Add 50 new questions below the existing ones. Ensure:
# - Mix of categories (don't just do all computing)
"# - Balanced correct answers (aim for 12-13 each of A, B, C, D)"
# - Plausible wrong answers that sound real
# - Educational explanations with interesting facts
# - Proper CSV formatting with no extra quotes or spaces
# 
# END OF INSTRUCTIONS - DATA STARTS BELOW:
"term,kind,category,question,optionA,optionB,optionC,optionD,correct,explanation"
"CPU,initialism,computing,What does CPU stand for?,Central Processing Unit,Computer Programming Unit,Core Processing Unit,Central Program Unit,A,The CPU executes instructions and is the brain of the computer."
"RAM,initialism,computing,What does RAM stand for?,Rapid Access Module,Read And Modify,Random Access Memory,Remote Access Manager,C,RAM is volatile memory used for temporary data storage while programs run."
"API,initialism,computing,What does API stand for?,Automated Program Integration,Application Programming Interface,Advanced Port Interface,App Processing Instruction,B,APIs let different software systems communicate with each other."
"HTML,initialism,computing,What does HTML stand for?,High Tech Modern Language,Home Tool Markup Language,Hyper Transfer Machine Language,HyperText Markup Language,D,HTML is the standard markup language for creating web pages."
"CSS,initialism,computing,What does CSS stand for?,Cascading Style Sheets,Computer Style System,Creative Style Scripts,Central Server System,A,CSS describes how HTML elements should be displayed."
"GPS,initialism,technology,What does GPS stand for?,General Position Sensor,Geographic Point System,Global Positioning System,Guided Pathway Signal,C,GPS uses satellites to determine location anywhere on Earth."
"NASA,initialism,science,What does NASA stand for?,North American Space Agency,National Aeronautics and Space Administration,National Aviation and Space Authority,New Aerospace Systems Agency,B,NASA is the US federal agency responsible for space programs."
"FBI,initialism,government,What does FBI stand for?,Federal Banking Institution,Foreign Border Inspection,Federal Business Institute,Federal Bureau of Investigation,D,The FBI is the domestic intelligence and security service of the United States."
"CEO,initialism,business,What does CEO stand for?,Central Executive Operations,Corporate Efficiency Officer,Company Evaluation Officer,Chief Executive Officer,D,The CEO is the highest-ranking person in a company."
"GDP,initialism,economics,What does GDP stand for?,General Development Plan,Global Distribution Protocol,Gross Domestic Product,Government Development Program,C,GDP measures the total value of goods and services produced by a country."
"USB,initialism,computing,What does USB stand for?,United System Board,User System Bridge,Unified Storage Block,Universal Serial Bus,D,USB is an industry standard for cables and connectors."
"WiFi,initialism,technology,What does WiFi stand for?,Wide Field Internet,Wireless Fidelity,World Internet Federation,Web Interface Field,B,WiFi is a wireless networking technology using radio waves."
"PDF,initialism,computing,What does PDF stand for?,Personal Data File,Print Display Format,Portable Document Format,Program Data Format,C,PDF is a file format developed by Adobe for document sharing."
"ATM,initialism,banking,What does ATM stand for?,Automated Teller Machine,Automatic Transaction Module,Advanced Transfer Method,Account Transfer Manager,A,ATMs allow customers to perform banking transactions without a human teller."
"DNA,initialism,science,What does DNA stand for?,Dynamic Natural Algorithm,Deoxyribonucleic Acid,Data Network Architecture,Digital Network Access,B,DNA carries genetic instructions for all known living organisms."
"LED,initialism,technology,What does LED stand for?,Low Energy Device,Laser Enhanced Display,Light Emitting Diode,Linear Electric Driver,C,LEDs are semiconductor devices that emit light when current flows through them."
"FAQ,initialism,general,What does FAQ stand for?,Fast Answer Queue,Full Article Query,First Aid Questions,Frequently Asked Questions,D,FAQs are lists of common questions and answers about a topic."
"VIP,initialism,general,What does VIP stand for?,Verified Identity Pass,Virtual Interactive Platform,Very Important Person,Visual Information Protocol,C,VIP refers to someone accorded special privileges due to their status."
"DIY,initialism,general,What does DIY stand for?,Design It Yourself,Do It Yourself,Daily Improvement Yield,Direct Input Yield,B,DIY refers to building or repairing something without professional help."
"ASAP,initialism,general,What does ASAP stand for?,Always Safe And Protected,As Soon As Possible,Advanced System Application Protocol,Automatic Service And Processing,B,ASAP is used to indicate something needs urgent attention."
"HTTP,initialism,computing,What does HTTP stand for?,Hyper Transfer Text Program,HyperText Transfer Protocol,High Tech Transfer Process,Host To Terminal Protocol,B,HTTP is the foundation of data communication for the World Wide Web."
"JSON,initialism,computing,What does JSON stand for?,Java System Object Notation,JavaScript Object Network,JavaScript Object Notation,Java Standard Output Name,C,JSON is a lightweight data interchange format that's easy for humans to read."
"SQL,initialism,computing,What does SQL stand for?,Structured Query Language,System Query Logic,Sequential Question List,Server Quality Level,A,SQL is used to communicate with and manipulate databases."
"URL,initialism,computing,What does URL stand for?,Universal Resource Link,User Resource Location,Unified Registry Location,Uniform Resource Locator,D,URL is the address of a resource on the Internet."
"WWW,initialism,computing,What does WWW stand for?,Wide World Website,Web Wide World,World Web Window,World Wide Web,D,WWW is the system of interlinked hypertext documents accessed via the Internet."
"PhD,initialism,education,What does PhD stand for?,Professional Higher Degree,Philosophy Doctorate,Doctor of Philosophy,Post Honorary Degree,C,PhD is the highest academic degree awarded by universities."
"MBA,initialism,education,What does MBA stand for?,Major Business Associate,Master of Business Administration,Management Business Administration,Modern Banking Academy,B,MBA is a graduate degree focused on business administration and management."
"IQ,initialism,psychology,What does IQ stand for?,Intelligence Quotient,Intellectual Quality,Information Query,Individual Qualification,A,IQ is a score derived from standardized tests to assess human intelligence."
